district,underground,street,house_number,floor,floors_count,total_meters,living_meters,kitchen_meters,rooms_count,year_construction,house_material_type,heating_type,price_per_month,commissions,author,author_type,phone,url,full_address,lat,lon,nearest_metro,metro_distance_m
Покровское-Стрешнево,Трикотажная,Волоколамское шоссе,95/2,10,51,27.0,,,1,,,,80000,0,One Moscow,real_estate_agent,,https://www.cian.ru/rent/flat/317617851/,"Москва, Волоколамское шоссе, 95/2",55.8298755,37.4028366,Мякинино,1221.7431585287325
Басманный,Китай-город,Малый Трехсвятительский переулок,8/2С8,1,5,32.4,,,1,,,,130000,0,Point Estate Город,real_estate_agent,,https://www.cian.ru/rent/flat/317617848/,"Москва, Малый Трехсвятительский переулок, 8/2С8",55.7541337,37.646046,Чкаловская,754.1158641234298
Братеево,Алма-Атинская,Ключевая ,22К1,14,17,39.0,,,1,,,,50000,0,ID 7492764,unknown,,https://www.cian.ru/rent/flat/317617805/,"Москва, Ключевая , 22К1",55.6323598,37.7626359,Алма-Атинская,213.563994815062
Очаково-Матвеевское,Очаково,Озерная ,22,3,5,32.0,,,1,,,,56000,0,ID 12589751,homeowner,,https://www.cian.ru/rent/flat/317617711/,"Москва, Озерная , 22",55.678389,37.4552566,Озёрная,919.37584809149
Бутырский,Дмитровская,Новодмитровская ,2к1А,12,38,37.0,,,1,,,,95000,0,ID 18043460,homeowner,,https://www.cian.ru/rent/flat/317617640/,"Москва, Новодмитровская , 2к1А",55.8053598,37.5896259,Дмитровская,525.7443206413307
Рязанский,Плющево, Михайлова,30Ак4,12,33,35.0,,,1,,,,60000,0,Дом Сегодня,real_estate_agent,,https://www.cian.ru/rent/flat/317617403/,"Москва,  Михайлова, 30Ак4",55.7256956,37.77553,Стахановская,859.9290793540706
,Новомосковская, Фитаревская,21,14,25,45.6,,,1,,,,62900,0,Циан х ПИК-Аренда,real_estate_agent,,https://www.cian.ru/rent/flat/317617236/,"Москва,  Фитаревская, 21",55.5653217,37.4788327,Ольховая,1279.1586258657135
Крылатское,Крылатское,Осенний бульвар,16К1,13,17,38.0,,,1,,,,60000,0,ID 130650854,realtor,,https://www.cian.ru/rent/flat/317617127/,"Москва, Осенний бульвар, 16К1",55.7605329,37.4085153,Крылатское,427.54100251463046
Северное Медведково,Медведково, Молодцова,2К2,9,14,39.5,,,1,,,,45000,0,Наталья Никитина,realtor,,https://www.cian.ru/rent/flat/317617106/,"Москва,  Молодцова, 2К2",55.8790797,37.6430393,Медведково                                                                              ,1457.1698890787252
Ново-Переделкино,Новопеределкино,Новоорловская ,14,13,14,40.0,,,1,,,,63000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317617005/,"Москва, Новоорловская , 14",55.636465,37.3608936,Новопеределкино,500.3858488321601
Сокольники,Сокольники, Короленко,10,5,12,34.0,,,1,,,,53000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317616992/,"Москва,  Короленко, 10",55.795084,37.6923895,Сокольники,1024.2740493447623
Филевский парк,Фили,Береговой проезд,9К5,5,12,42.0,,,1,,,,80000,0,AGORA,real_estate_agent,,https://www.cian.ru/rent/flat/317616855/,"Москва, Береговой проезд, 9К5",55.7536475,37.5061172,Фили,1017.8939217408412
Красносельский,Красносельская,1-й Красносельский переулок,5,5,8,35.4,,,1,,,,75000,0,Realty Duo,real_estate_agent,,https://www.cian.ru/rent/flat/317616817/,"Москва, 1-й Красносельский переулок, 5",55.7836145,37.6703639,Красносельская,456.06161637053475
Хорошево-Мневники,Октябрьское поле, Генерала Глаголева,30К5,11,12,40.0,,,1,,,,53000,0,ID 130650854,realtor,,https://www.cian.ru/rent/flat/317616520/,"Москва,  Генерала Глаголева, 30К5",55.7881708,37.471339,Октябрьское Поле                                                                        ,1511.4752231350906
Крюково,Зеленоград — Крюково,Зеленоград,к1802,8,17,48.0,,,1,,,,45000,0,Мария Щетинина,realtor,,https://www.cian.ru/rent/flat/317616473/,"Москва, Зеленоград, к1802",55.9784437,37.1634424,Пятницкое шоссе,18097.093825037082
Останкинский,Алексеевская,Большая Марьинская ,23,4,5,31.0,,,1,,,,78000,0,Альберт Шокуев,realtor,,https://www.cian.ru/rent/flat/317616455/,"Москва, Большая Марьинская , 23",55.8095295,37.6344046,Алексеевская,299.35991457914184
Останкинский,Улица Академика Королёва,Аргуновская ,16,10,12,33.0,,,1,,,,73000,0,Людмила Сидорова,realtor,,https://www.cian.ru/rent/flat/317616429/,"Москва, Аргуновская , 16",55.8190579,37.6209743,Улица Академика Королёва,480.8031650457709
Марьино,Марьино,Новочеркасский бульвар,21,9,16,38.0,,,1,,,,45000,0,ID 6007,realtor,,https://www.cian.ru/rent/flat/317616363/,"Москва, Новочеркасский бульвар, 21",55.6475417,37.7258793,Марьино,1118.1843542984316
Хорошевский,Хорошёвская,Хорошевское шоссе,76Б,8,9,33.0,,,1,,,,70000,0,EMPIRE HOME,real_estate_agent,,https://www.cian.ru/rent/flat/317616342/,"Москва, Хорошевское шоссе, 76Б",55.7839388,37.5210955,Полежаевская                                                                            ,726.6809808991646
Нагорный,Нагорная,Электролитный проезд,7,10,27,40.0,,,1,,,,130000,0,ID 388131,realtor,,https://www.cian.ru/rent/flat/317616203/,"Москва, Электролитный проезд, 7",55.6729757,37.6071125,Нагорная,216.54961639726812
Северное Тушино,Планерная,Планерная ,14К2,1,9,12.0,,,1,,,,35000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317615977/,"Москва, Планерная , 14К2",55.863814,37.4374822,Планерная                                                                               ,353.27027019565094
Кунцево,Молодёжная,Рублевское шоссе,111,7,9,33.0,,,1,,,,53000,0,РиД недвижимость,real_estate_agent,,https://www.cian.ru/rent/flat/317615837/,"Москва, Рублевское шоссе, 111",55.7453758,37.4162652,Молодёжная,510.56258959079656
Некрасовка,Некрасовка, Недорубова,32,4,22,32.4,,,1,,,,55000,0,FROM HOMELAND,real_estate_agent,,https://www.cian.ru/rent/flat/317615783/,"Москва,  Недорубова, 32",55.707932,37.9333435,Некрасовка,650.5100755724993
