underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Фили,Филевский бульвар,2,12,40.0,1,https://www.cian.ru/rent/flat/317613092/,55.7646522,37.4945044,1199.804792495136,129674.0,40.0,0,50000.00000000001
Перово,3-я Владимирская ,2,5,55.0,2,https://www.cian.ru/rent/flat/317599679/,55.7607198,37.7895605,1087.052849104931,59831.0,27.5,0,65000.00000000002
Кунцевская, Красных Зорь,12,14,59.0,2,https://www.cian.ru/rent/flat/317619620/,55.7248883,37.434679,956.9421536169632,105020.0,29.5,0,69999.99999999994
Бульвар Дмитрия Донского, Грина,1,17,50.0,2,https://www.cian.ru/rent/flat/317609429/,55.5669917,37.5680902,587.3863478572248,59792.0,25.0,0,51000.00000000001
Коньково, Островитянова,5,14,39.7,1,https://www.cian.ru/rent/flat/317618715/,55.6327415,37.5356562,1063.4683138021455,73135.0,39.7,0,54999.99999999995
Цветной бульвар,2-й Волконский переулок,2,9,34.0,1,https://www.cian.ru/rent/flat/317620708/,55.775756,37.6162096,573.4969979891869,243014.0,34.0,0,100000.00000000001
Очаково,проезд Стройкомбината,20,33,37.0,1,https://www.cian.ru/rent/flat/317602213/,55.6831368,37.4477379,1365.0879950318051,97264.0,37.0,0,78000.00000000004
Электрозаводская,Семеновская набережная,5,9,32.0,1,https://www.cian.ru/rent/flat/317607385/,55.7766307,37.7056677,577.752036161965,183675.0,32.0,0,69999.99999999994
Свиблово,Ивовая ,5,5,30.4,1,https://www.cian.ru/rent/flat/317621556/,55.8588328,37.6435532,701.2115817582519,77731.0,30.4,0,60000.00000000002
Лихоборы,3-й Новомихалковский проезд,4,5,75.0,3,https://www.cian.ru/rent/flat/317596031/,55.8396592,37.5414693,1041.2321211498513,67042.0,25.0,0,95000.00000000006
Люблино,Совхозная ,7,17,38.0,1,https://www.cian.ru/rent/flat/317598175/,55.6708439,37.7521505,820.4133474416334,62600.0,38.0,0,50000.00000000001
Москва-Сити,3-я Красногвардейская ,4,5,45.0,2,https://www.cian.ru/rent/flat/317610672/,55.7585198,37.5420428,929.5855075635944,278657.0,22.5,0,79999.99999999994
Беломорская,Беломорская ,11,25,58.0,2,https://www.cian.ru/rent/flat/317621610/,55.8667981,37.4808928,302.44135393078443,84602.0,29.0,0,79999.99999999994
Щёлковская,Щелковское шоссе,12,24,40.0,1,https://www.cian.ru/rent/flat/317585515/,55.8115248,37.7949991,327.0131472023935,62738.0,40.0,0,50000.00000000001
Водный стадион,Головинское шоссе,27,30,43.0,2,https://www.cian.ru/rent/flat/317617841/,55.8395527,37.4932147,409.0789368298878,75782.0,21.5,0,89999.99999999997
Москва-Сити,1-й Красногвардейский проезд,50,78,64.0,2,https://www.cian.ru/rent/flat/317578585/,55.7519171,37.5342124,403.19557792387104,278657.0,32.0,0,275000.00000000006
Улица Скобелевская,Скобелевская ,5,8,58.0,2,https://www.cian.ru/rent/flat/317620729/,55.5506738,37.5590347,400.5713247593749,53788.0,29.0,0,60000.00000000002
Крымская,Севастопольский проспект,9,14,55.0,2,https://www.cian.ru/rent/flat/317597039/,55.6829374,37.6029275,797.054048397066,74584.0,27.5,0,85000.0
Верхние Лихоборы,Дубнинская ,2,9,48.0,2,https://www.cian.ru/rent/flat/317609957/,55.8578732,37.5692313,556.9477048944863,56905.0,24.0,0,50000.00000000001
Щербинка, Брусилова,8,10,44.0,1,https://www.cian.ru/rent/flat/317607331/,55.5014946,37.595361,5792.23147860333,53788.0,44.0,0,44999.999999999985
Медведково, Молодцова,9,14,39.5,1,https://www.cian.ru/rent/flat/317617106/,55.8790797,37.6430393,1457.1698890787252,57621.0,39.5,0,44999.999999999985
Белорусская, Бутырский Вал,4,9,50.0,2,https://www.cian.ru/rent/flat/317612088/,55.7840164,37.5873001,848.7724832652947,243014.0,25.0,0,95000.00000000006
Рабочий посёлок, Кубинка,1,5,45.0,2,https://www.cian.ru/rent/flat/317582575/,55.7222334,37.4099653,2111.273579829558,105020.0,22.5,0,44000.0
Беломорская,Левобережная ,1,19,27.0,1,https://www.cian.ru/rent/flat/317608194/,55.8717099,37.4775187,661.7215808982949,69003.0,27.0,0,53999.99999999999
Новослободская,Селезневская ,3,9,85.0,3,https://www.cian.ru/rent/flat/317590274/,55.7796601,37.6037762,66.82393285671311,243014.0,28.333333333333332,1,170000.0
Первомайская,Верхняя Первомайская ,5,5,50.0,2,https://www.cian.ru/rent/flat/317607847/,55.8010152,37.8076767,868.8277972492539,57312.0,25.0,0,69999.99999999994
Сокольники, Короленко,5,12,34.0,1,https://www.cian.ru/rent/flat/317616992/,55.795084,37.6923895,1024.2740493447625,86127.0,34.0,0,53000.000000000015
Планерная,Планерная ,4,9,33.0,1,https://www.cian.ru/rent/flat/317622900/,55.8648152,37.4389741,485.7049072899231,58103.0,33.0,0,50000.00000000001
Студенческая,Студенческая ,7,9,36.0,1,https://www.cian.ru/rent/flat/317605795/,55.74279,37.5501551,459.2616982308833,194664.0,36.0,0,69999.99999999994
Сокол,Новопесчаная ,1,4,40.0,1,https://www.cian.ru/rent/flat/317620184/,55.8017344,37.5176227,402.0327167880978,125804.0,40.0,0,110500.00000000003
Водный стадион, Адмирала Макарова,13,22,58.0,2,https://www.cian.ru/rent/flat/317610588/,55.8367579,37.4930182,520.9810513804384,95070.0,29.0,0,149999.99999999994
Речной вокзал,Ленинградское шоссе,7,9,42.6,2,https://www.cian.ru/rent/flat/317621580/,55.8546691,37.4716253,281.4116225842673,84602.0,21.3,0,60000.00000000002
Планерная, Героев Панфиловцев,4,12,40.0,1,https://www.cian.ru/rent/flat/317603316/,55.8581413,37.4112047,1603.220241023885,58103.0,40.0,0,50000.00000000001
Павелецкая,Большой Татарский переулок,6,9,32.0,1,https://www.cian.ru/rent/flat/317599837/,55.7365385,37.6378812,672.4046905212724,285242.0,32.0,0,79999.99999999994
Нижегородская,Перовское шоссе,17,27,34.0,1,https://www.cian.ru/rent/flat/317618201/,55.7341049,37.7401724,686.418010076869,69856.0,34.0,0,74999.99999999996
Зябликово,Ясеневая ,6,22,40.0,1,https://www.cian.ru/rent/flat/317576723/,55.6023225,37.7328288,1301.934349213738,58610.0,40.0,0,54999.99999999995
