underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Медведково,Полярная ,25,33,41.0,1,https://www.cian.ru/rent/flat/317612736/,55.8829477,37.638921,1478.2945769031437,61290.0,41.0,0,76400.00000000004
unknown,Южнобутовская ,9,9,55.0,2,https://www.cian.ru/rent/flat/317615031/,55.5385266,37.5327217,384.101845679614,53788.0,27.5,0,60000.00000000002
Аминьевская, Лобачевского,3,23,50.0,1,https://www.cian.ru/rent/flat/317594689/,55.693573,37.4692684,514.4382589961288,196953.0,50.0,0,100000.00000000001
Улица Академика Янгеля,3-й Дорожный проезд,21,22,70.0,3,https://www.cian.ru/rent/flat/317615997/,55.6028929,37.6104919,1093.8945847372495,61479.0,23.333333333333332,0,69999.99999999994
Косино,Большая Косинская ,6,12,50.0,2,https://www.cian.ru/rent/flat/317591315/,55.7111781,37.8544746,902.409416119948,56020.0,25.0,0,60000.00000000002
Тульская,3-й Павелецкий проезд,5,5,32.0,1,https://www.cian.ru/rent/flat/317624065/,55.7107376,37.6405504,1132.4529262450822,122875.0,32.0,0,44999.999999999985
Беляево,Миклухо-Маклая ,9,16,54.0,2,https://www.cian.ru/rent/flat/317603198/,55.6449597,37.5182953,524.590739533013,73135.0,27.0,0,65000.00000000002
Митино, Центральная,5,5,54.0,2,https://www.cian.ru/rent/flat/317575725/,55.7715873,37.568052,847.0519000943599,62375.0,27.0,0,54999.99999999995
Профсоюзная,Нахимовский проспект,12,23,48.0,2,https://www.cian.ru/rent/flat/317586573/,55.6705467,37.5813969,1439.578229958385,95015.0,24.0,0,79999.99999999994
Юго-Западная, Академика Анохина,3,17,39.0,1,https://www.cian.ru/rent/flat/317600746/,55.6632683,37.4759959,461.1566169699354,78074.0,39.0,0,67000.00000000001
Бульвар Рокоссовского,Открытое шоссе,26,33,58.0,3,https://www.cian.ru/rent/flat/317597700/,55.8198957,37.7491122,1099.312550858731,65639.0,19.333333333333332,0,115000.00000000009
Речной вокзал,Фестивальная ,9,9,44.0,2,https://www.cian.ru/rent/flat/317611002/,55.8555315,37.4752598,87.81953975926895,84602.0,22.0,0,95000.00000000006
Водный стадион,Кронштадтский бульвар,8,21,72.0,3,https://www.cian.ru/rent/flat/317600778/,55.8426956,37.4879388,331.60274183378186,75782.0,24.0,0,149999.99999999994
Улица Академика Королёва,Хованская ,14,17,55.0,2,https://www.cian.ru/rent/flat/317603948/,55.8263457,37.6223059,582.2872374389708,85965.0,27.5,0,100000.00000000001
Бутырская, Добролюбова,13,24,38.0,2,https://www.cian.ru/rent/flat/317595822/,55.811082,37.5954938,520.3889021933303,88896.0,19.0,0,85000.0
Коптево,Новопетровская ,7,14,64.0,3,https://www.cian.ru/rent/flat/317610069/,55.8275739,37.5210705,1350.9684086961015,67042.0,21.333333333333332,0,120000.00000000006
Щербинка,Варшавское шоссе,15,17,51.0,2,https://www.cian.ru/rent/flat/317598406/,55.5182518,37.5733325,3527.3295889176093,53788.0,25.5,0,79999.99999999994
Аминьевская,Очаковское шоссе,20,33,60.0,3,https://www.cian.ru/rent/flat/317591330/,55.6944058,37.4627488,324.20360538032537,97264.0,20.0,0,109999.99999999991
Люблино,Цимлянская ,2,17,55.0,2,https://www.cian.ru/rent/flat/317616148/,55.6698956,37.7733424,979.567780697406,62600.0,27.5,0,79999.99999999994
Красный Строитель,Дорожная ,11,17,38.0,1,https://www.cian.ru/rent/flat/317575560/,55.5902874,37.6129106,941.206918121293,61479.0,38.0,0,50000.00000000001
Домодедовская,Каширское шоссе,6,16,55.0,2,https://www.cian.ru/rent/flat/317618801/,55.5959629,37.7227283,1672.2512175005563,58610.0,27.5,0,60000.00000000002
Аминьевская,Очаковское шоссе,8,21,40.0,1,https://www.cian.ru/rent/flat/317615302/,55.6870933,37.4422349,1781.645869480204,97264.0,40.0,0,85000.0
Академическая,Большая Черемушкинская ,12,17,38.0,1,https://www.cian.ru/rent/flat/317606921/,55.682472,37.5841737,898.0994893873204,106416.0,38.0,0,60000.00000000002
Смоленская,Малый Новопесковский переулок,4,14,135.0,2,https://www.cian.ru/rent/flat/317582795/,55.7497379,37.5775714,394.8782231610764,415029.0,67.5,1,359999.99999999994
Новаторская, Новаторов,10,25,102.1,3,https://www.cian.ru/rent/flat/317605235/,55.6646334,37.521165,609.9384421593716,119833.0,34.03333333333333,1,139999.9999999999
Свиблово,Ивовая ,5,5,30.4,1,https://www.cian.ru/rent/flat/317602224/,55.8588328,37.6435532,701.2115817582519,77731.0,30.4,0,60000.00000000002
Кусково,Перовская ,12,19,59.6,2,https://www.cian.ru/rent/flat/317623718/,55.743371,37.8043452,1205.0735680857758,58190.0,29.8,0,69999.99999999994
Пионерская,Кастанаевская ,16,22,55.7,2,https://www.cian.ru/rent/flat/317582798/,55.7331415,37.4684732,329.7406163276187,93407.0,27.85,0,120000.00000000006
Черкизовская,Тагильская ,31,33,36.0,2,https://www.cian.ru/rent/flat/317616994/,55.8162947,37.7582995,1521.187457632824,65639.0,18.0,0,65000.00000000002
Юго-Западная, Академика Анохина,9,16,53.0,2,https://www.cian.ru/rent/flat/317576349/,55.6592161,37.474758,726.1198350715998,78074.0,26.5,0,89999.99999999997
Бутырская, Руставели,20,33,38.0,1,https://www.cian.ru/rent/flat/317607819/,55.8121079,37.597858,337.0665024583485,88896.0,38.0,0,85000.0
Давыдково, Ватутина,21,22,55.2,2,https://www.cian.ru/rent/flat/317617410/,55.7210642,37.456442,707.5862644928591,93407.0,27.6,0,105000.00000000004
Соколиная гора,Вольная ,2,25,37.9,1,https://www.cian.ru/rent/flat/317582612/,55.774805,37.7380867,580.8986147478954,68460.0,37.9,0,54999.99999999995
Молодёжная,Ярцевская ,5,25,50.0,2,https://www.cian.ru/rent/flat/317607326/,55.7391301,37.4141765,248.43700886978596,92109.0,25.0,0,89999.99999999997
Трикотажная,Волоколамское шоссе,10,51,27.0,1,https://www.cian.ru/rent/flat/317617851/,55.8298755,37.4028366,1221.7431585287325,124769.0,27.0,0,79999.99999999994
Новаторская,Ленинский проспект,29,33,80.0,3,https://www.cian.ru/rent/flat/317596742/,55.6729453,37.5244522,358.0510940494562,119833.0,26.666666666666668,0,249999.99999999983
Савёловская, Бутырский Вал,3,9,37.0,2,https://www.cian.ru/rent/flat/317582663/,55.7869065,37.5881742,645.3604167398706,243014.0,18.5,0,96999.99999999997
Сокольники, Жебрунова,5,12,40.0,2,https://www.cian.ru/rent/flat/317576789/,55.7842926,37.6851865,597.6002002963808,86127.0,20.0,0,74999.99999999996
Бескудниково,проезд Черского,2,9,31.6,1,https://www.cian.ru/rent/flat/317577169/,55.8760934,37.5830828,1533.9975036072017,56500.0,31.6,0,34999.99999999997
Зорге,3-я Хорошевская ,5,22,45.0,2,https://www.cian.ru/rent/flat/317616600/,55.7845489,37.495187,687.3077077841274,102401.0,22.5,0,120000.00000000006
Аминьевская, Лобачевского,3,23,50.0,1,https://www.cian.ru/rent/flat/317601075/,55.693573,37.4692684,514.4382589961288,196953.0,50.0,0,100000.00000000001
Верхние котлы,Новоданиловская набережная,18,24,38.0,2,https://www.cian.ru/rent/flat/317598033/,55.6975619,37.6260451,954.3101786225736,111681.0,19.0,0,120000.00000000006
unknown,Нижегородская ,5,5,45.0,2,https://www.cian.ru/rent/flat/317617934/,55.7337823,37.7065475,1253.3115960892387,69856.0,22.5,0,54999.99999999995
Ховрино, Дыбенко,10,17,38.0,1,https://www.cian.ru/rent/flat/317582524/,55.8771543,37.485915,317.79663390319547,69003.0,38.0,0,44999.999999999985
Москва-Сити,1-й Красногвардейский проезд,28,78,71.8,2,https://www.cian.ru/rent/flat/317578480/,55.7519171,37.5342124,403.19557792387104,278657.0,35.9,0,269999.99999999977
Селигерская,Дегунинская ,13,13,55.0,2,https://www.cian.ru/rent/flat/317610820/,55.8664228,37.5368364,737.0159533194261,71608.0,27.5,0,65000.00000000002
Плющево, Михайлова,12,33,35.0,1,https://www.cian.ru/rent/flat/317617403/,55.7256956,37.77553,859.9290793540706,70650.0,35.0,0,60000.00000000002
Шипиловская,Борисовский проезд,2,17,36.0,1,https://www.cian.ru/rent/flat/317602218/,55.6254526,37.7284321,1077.0298616084249,61208.0,36.0,0,39999.99999999997
Лихоборы,3-й Новомихалковский проезд,4,5,75.0,3,https://www.cian.ru/rent/flat/317597793/,55.8396592,37.5414693,1041.2321211498513,67042.0,25.0,0,95000.00000000006
Трикотажная,проезд Донелайтиса,11,14,38.0,2,https://www.cian.ru/rent/flat/317598397/,55.8391182,37.4140581,1985.551404534625,66085.0,19.0,0,53000.000000000015
Шелепиха,Шелепихинское шоссе,3,5,47.0,2,https://www.cian.ru/rent/flat/317610658/,55.7567995,37.5207109,316.70779663315864,278657.0,23.5,0,60000.00000000002
Москва-Сити,1-й Красногвардейский проезд,32,78,61.0,2,https://www.cian.ru/rent/flat/317620511/,55.7519171,37.5342124,403.19557792387104,278657.0,30.5,0,234999.99999999994
Первомайская,Средняя Первомайская ,16,17,39.0,1,https://www.cian.ru/rent/flat/317595876/,55.7956619,37.8079409,550.4067631389686,57312.0,39.0,0,54999.99999999995
Домодедовская,Ясеневая ,17,25,78.0,3,https://www.cian.ru/rent/flat/317612048/,55.6005205,37.7331224,1465.4581743930744,58610.0,26.0,0,109999.99999999991
Октябрьская, Большая Якиманка,2,12,47.0,2,https://www.cian.ru/rent/flat/317582039/,55.7349611,37.6124186,479.5720946680419,327389.0,23.5,0,85000.0
Серпуховская,3-й Люсиновский переулок,6,13,85.0,3,https://www.cian.ru/rent/flat/317591739/,55.7235653,37.6186147,620.6611131443899,285242.0,28.333333333333332,1,350000.0000000001
Строгино,Строгинский бульвар,1,12,39.0,1,https://www.cian.ru/rent/flat/317591247/,55.8055271,37.4000692,270.3633909368866,70897.0,39.0,0,54999.99999999995
Пятницкое шоссе,Пятницкое шоссе,11,17,53.0,2,https://www.cian.ru/rent/flat/317619134/,55.8565183,37.350702,232.85516922769835,62375.0,26.5,0,60000.00000000002
Новопеределкино,Новопеределкинская ,22,22,40.0,1,https://www.cian.ru/rent/flat/317576939/,55.6417996,37.3623586,513.0058540090129,63075.0,40.0,0,54999.99999999995
Водный стадион,Кронштадтский бульвар,29,32,95.5,3,https://www.cian.ru/rent/flat/317609659/,55.8433941,37.4892847,431.6834069984212,75782.0,31.833333333333332,1,165000.00000000006
Октябрьское поле,Тепличный переулок,17,28,38.0,1,https://www.cian.ru/rent/flat/317614138/,55.7901836,37.496006,401.310022762314,115591.0,38.0,0,89999.99999999997
Солнцево, Юлиана Семенова,2,12,90.0,3,https://www.cian.ru/rent/flat/317600035/,55.6430647,37.394406,728.4603266163941,61958.0,30.0,1,85000.0
Беляево, Бутлерова,9,9,33.0,1,https://www.cian.ru/rent/flat/317603522/,55.6517596,37.5256893,997.5208937018124,73135.0,33.0,0,54999.99999999995
Октябрьское поле, Берзарина,8,21,63.0,3,https://www.cian.ru/rent/flat/317602291/,55.7890627,37.4734553,1350.9517047953343,115591.0,21.0,0,149999.99999999994
Шелепиха,Шелепихинская набережная,17,24,75.0,2,https://www.cian.ru/rent/flat/317619842/,55.7628891,37.5092754,1187.559211016668,102401.0,37.5,0,219999.99999999985
Дегунино,Алтуфьевское шоссе,2,12,38.4,1,https://www.cian.ru/rent/flat/317582129/,55.8719713,37.587275,1456.7724917801283,64371.0,38.4,0,50000.00000000001
Беломорская,Ленинградское шоссе,4,17,36.0,1,https://www.cian.ru/rent/flat/317605646/,55.8609368,37.4697118,684.5072158071949,84602.0,36.0,0,47999.99999999998
Улица Академика Королёва,Аргуновская ,10,12,33.0,1,https://www.cian.ru/rent/flat/317616429/,55.8190579,37.6209743,480.8031650457709,85965.0,33.0,0,72999.99999999997
Бибирево,Юрловский проезд,2,17,58.7,2,https://www.cian.ru/rent/flat/317617422/,55.8789717,37.6129607,804.3690364327674,64371.0,29.35,0,74999.99999999996
Новые Черёмушки,Новочеремушкинская ,11,22,47.0,1,https://www.cian.ru/rent/flat/317608006/,55.6685333,37.5676878,856.4703975924222,95015.0,47.0,0,77000.0
Аминьевская, Василия Ланового,11,43,42.0,1,https://www.cian.ru/rent/flat/317618863/,55.6972955,37.4767528,789.3871301177726,196953.0,42.0,0,149999.99999999994
Мнёвники,Филевский бульвар,7,18,93.0,3,https://www.cian.ru/rent/flat/317582568/,55.7656537,37.4870723,922.3671796558637,129674.0,31.0,1,165000.00000000006
Марьино,Новочеркасский бульвар,9,16,38.0,1,https://www.cian.ru/rent/flat/317616363/,55.6475417,37.7258793,1118.1843542984316,65291.0,38.0,0,44999.999999999985
Сокольники,Егерская ,9,12,45.0,2,https://www.cian.ru/rent/flat/317616525/,55.7946124,37.6844359,686.8860974825807,86127.0,22.5,0,60000.00000000002
Ломоносовский проспект,Ломоносовский проспект,4,8,68.6,3,https://www.cian.ru/rent/flat/317598403/,55.7083059,37.5110726,324.8100891946541,196953.0,22.866666666666664,0,139999.9999999999
Люблино,Совхозная ,3,12,65.0,2,https://www.cian.ru/rent/flat/317620419/,55.6803242,37.7630686,509.989458815828,62600.0,32.5,0,65000.00000000002
Водный стадион,Кронштадтский бульвар,10,21,50.0,2,https://www.cian.ru/rent/flat/317615530/,55.8416665,37.4896774,279.2502397763847,75782.0,25.0,0,100000.00000000001
Выхино, Молдагуловой,5,22,35.0,1,https://www.cian.ru/rent/flat/317591540/,55.72453,37.821648,1018.931546019475,51547.0,35.0,0,60000.00000000002
Кутузовская,Кутузовский проспект,10,12,39.9,1,https://www.cian.ru/rent/flat/317597572/,55.7411989,37.536775,207.7657481826439,194664.0,39.9,0,89999.99999999997
Моссельмаш,Коровинское шоссе,4,14,39.0,1,https://www.cian.ru/rent/flat/317607365/,55.8698488,37.5310609,1208.614302162708,71608.0,39.0,0,50000.00000000001
Аминьевская, Василия Ланового,4,16,44.0,1,https://www.cian.ru/rent/flat/317614584/,55.6955027,37.4783801,726.3737207339931,196953.0,44.0,0,120000.00000000006
Алтуфьево,Алтуфьевское шоссе,7,17,38.0,1,https://www.cian.ru/rent/flat/317605214/,55.890361,37.5888057,857.9953080967146,58013.0,38.0,0,41999.99999999998
Депо,Люблинская ,15,25,33.2,1,https://www.cian.ru/rent/flat/317605228/,55.6667145,37.7331276,1343.5967279183324,62600.0,33.2,0,68900.00000000004
Улица Академика Янгеля,3-й Дорожный проезд,5,22,38.0,1,https://www.cian.ru/rent/flat/317621465/,55.6028929,37.6104919,1093.8945847372495,61479.0,38.0,0,50000.00000000001
Бульвар Рокоссовского,бульвар Маршала Рокоссовского,16,32,50.0,2,https://www.cian.ru/rent/flat/317614663/,55.8096828,37.7282837,670.5410616614134,70824.0,25.0,0,74999.99999999996
Марьина Роща,проезд 1-й Марьиной рощи,2,5,36.1,1,https://www.cian.ru/rent/flat/317602849/,55.794449,37.6232186,452.78026857187234,92410.0,36.1,0,72999.99999999997
Семёновская,Щербаковская ,3,11,32.0,1,https://www.cian.ru/rent/flat/317592857/,55.7816558,37.7304026,629.6904891757745,68460.0,32.0,0,69999.99999999994
Кантемировская,Кантемировская ,1,9,55.4,3,https://www.cian.ru/rent/flat/317581911/,55.6356085,37.667983,729.7902145537474,58553.0,18.466666666666665,0,79999.99999999994
Аминьевская,Очаковское шоссе,20,33,56.0,3,https://www.cian.ru/rent/flat/317590250/,55.6944058,37.4627488,324.20360538032537,97264.0,18.666666666666668,0,109999.99999999991
Озёрная, Мичуринский проспект Олимпийская деревня,20,22,38.0,1,https://www.cian.ru/rent/flat/317607328/,55.6717486,37.4567751,492.08203248607873,78074.0,38.0,0,50000.00000000001
Серп и Молот,проезд Шелихова,11,14,42.0,1,https://www.cian.ru/rent/flat/317604040/,55.7490095,37.6885229,434.0883542249279,99903.0,42.0,0,100000.00000000001
Озёрная, Малая Очаковская,30,33,36.0,1,https://www.cian.ru/rent/flat/317623739/,55.6656555,37.4382324,899.2212771879232,97264.0,36.0,0,74999.99999999996
Филёвский парк,Минская ,5,5,44.0,2,https://www.cian.ru/rent/flat/317578411/,55.7422138,37.4800611,355.06879141017026,93407.0,22.0,0,69999.99999999994
Серп и Молот,Волочаевская ,5,16,70.0,3,https://www.cian.ru/rent/flat/317599776/,55.7555152,37.6791077,948.5931963634208,99903.0,23.333333333333332,0,120000.00000000006
Планерная,Планерная ,1,9,12.0,1,https://www.cian.ru/rent/flat/317615977/,55.863814,37.4374822,353.27027019565094,58103.0,12.0,0,34999.99999999997
Москва-Сити,1-й Красногвардейский проезд,46,68,75.0,2,https://www.cian.ru/rent/flat/317597489/,55.7510862,37.5337195,310.41491030113497,278657.0,37.5,0,430000.0000000002
Молодёжная, Академика Павлова,11,23,89.0,3,https://www.cian.ru/rent/flat/317611416/,55.7460531,37.405412,923.91543936782,92109.0,29.666666666666668,1,170000.0
Поклонная,Поклонная ,12,34,63.0,2,https://www.cian.ru/rent/flat/317603952/,55.7290865,37.5002733,540.1967407901876,194664.0,31.5,0,249999.99999999983
Свиблово,проезд Дежнева,12,22,42.0,1,https://www.cian.ru/rent/flat/317607023/,55.8708918,37.6326559,1943.648739180068,61290.0,42.0,0,54999.99999999995
ЗИЛ,бульвар Братьев Весниных,5,20,41.0,1,https://www.cian.ru/rent/flat/317597997/,55.6988756,37.6386166,612.23114845155,122875.0,41.0,0,200000.00000000006
Фили,Береговой проезд,22,30,37.0,1,https://www.cian.ru/rent/flat/317598959/,55.7574628,37.5090225,1040.792016253348,129674.0,37.0,0,139999.9999999999
Сокол,Балтийская ,8,14,40.0,2,https://www.cian.ru/rent/flat/317596849/,55.8110965,37.514666,668.8227689483105,125804.0,20.0,0,89999.99999999997
Университет Дружбы Народов, Островитянова,11,17,60.0,2,https://www.cian.ru/rent/flat/317624070/,55.6457707,37.4936101,928.1769647167544,119833.0,30.0,0,65000.00000000002
Красный Строитель,Дорожная ,17,21,33.0,1,https://www.cian.ru/rent/flat/317607870/,55.5873745,37.6110187,1042.1596228993765,61479.0,33.0,0,67500.00000000004
Беляево,Профсоюзная ,2,9,68.0,3,https://www.cian.ru/rent/flat/317619014/,55.646281,37.5312541,522.0136564368912,73135.0,22.666666666666668,0,89999.99999999997
Щёлковская,Уральская ,5,12,38.0,1,https://www.cian.ru/rent/flat/317583365/,55.821184,37.79699,1315.888990636287,62738.0,38.0,0,47000.00000000002
Бульвар Дмитрия Донского,Коктебельская ,14,17,50.2,2,https://www.cian.ru/rent/flat/317611982/,55.5664545,37.5853075,612.5288953796967,59792.0,25.1,0,58000.00000000002
Савёловская, Нижняя Масловка,2,5,40.0,1,https://www.cian.ru/rent/flat/317619626/,55.7912145,37.5826061,405.0185526721404,176491.0,40.0,0,39999.99999999997
Проспект Вернадского,проспект Вернадского,11,17,52.0,2,https://www.cian.ru/rent/flat/317606635/,55.6717956,37.5027526,637.4967198034444,100671.0,26.0,0,85000.0
Рабочий посёлок,Кунцевская ,2,4,31.5,1,https://www.cian.ru/rent/flat/317611789/,55.7298663,37.4195598,1229.6085540947736,92109.0,31.5,0,54999.99999999995
Медведково,Тайнинская ,6,17,60.0,2,https://www.cian.ru/rent/flat/317608237/,55.8843358,37.6821509,1343.185710886252,55704.0,30.0,0,74999.99999999996
Китай-город,Малый Трехсвятительский переулок,1,5,32.4,1,https://www.cian.ru/rent/flat/317617848/,55.7541337,37.646046,754.1158641234298,183675.0,32.4,0,130000.00000000006
Алексеевская, Годовикова,19,35,46.0,2,https://www.cian.ru/rent/flat/317581372/,55.8106066,37.6268279,789.240330469907,85965.0,23.0,0,139999.9999999999
Шелепиха,Причальный проезд,11,34,40.0,1,https://www.cian.ru/rent/flat/317579191/,55.7604834,37.5172753,619.2526137381697,102401.0,40.0,0,99000.00000000004
Молодёжная,Ярцевская ,7,25,47.0,2,https://www.cian.ru/rent/flat/317614565/,55.7395397,37.4149905,180.57371844944083,92109.0,23.5,0,95000.00000000006
Марьино,Мячковский бульвар,3,14,38.0,1,https://www.cian.ru/rent/flat/317621666/,55.6511665,37.7578777,939.3444185095522,65291.0,38.0,0,54999.99999999995
Щёлковская,15-я Парковая ,3,5,42.5,2,https://www.cian.ru/rent/flat/317616562/,55.8051584,37.8182531,1319.6974531853282,52960.0,21.25,0,50000.00000000001
Бутово,Варшавское шоссе,3,18,32.0,2,https://www.cian.ru/rent/flat/317617700/,55.5174022,37.5696239,3546.9064605388603,53788.0,16.0,0,39999.99999999997
Шоссе Энтузиастов, Уткина,3,9,50.0,2,https://www.cian.ru/rent/flat/317600628/,55.7611874,37.7434347,573.9449370126325,68460.0,25.0,0,50000.00000000001
Проспект Вернадского, Коштоянца,4,5,34.0,1,https://www.cian.ru/rent/flat/317618219/,55.6768591,37.4884382,1111.788757709458,100671.0,34.0,0,60000.00000000002
Селигерская,Дмитровское шоссе,7,25,50.0,2,https://www.cian.ru/rent/flat/317615193/,55.8693857,37.5498955,498.0034254749024,60302.0,25.0,0,74999.99999999996
Коньково, Академика Арцимовича,8,9,64.0,3,https://www.cian.ru/rent/flat/317604351/,55.6390403,37.5128075,742.2071263766576,73135.0,21.333333333333332,0,85000.0
Авиамоторная,проезд Невельского,21,28,46.0,2,https://www.cian.ru/rent/flat/317603074/,55.7494149,37.7005919,1168.721253846517,99903.0,23.0,0,79999.99999999994
Отрадное,Северный бульвар,7,9,37.0,1,https://www.cian.ru/rent/flat/317595419/,55.8688371,37.6144671,868.3339931711248,64371.0,37.0,0,39999.99999999997
Озёрная, Мичуринский проспект Олимпийская деревня,8,16,55.0,2,https://www.cian.ru/rent/flat/317581402/,55.6732799,37.4645817,1009.5028986038636,78074.0,27.5,0,60000.00000000002
Пролетарская,Брошевский переулок,14,14,42.3,2,https://www.cian.ru/rent/flat/317597660/,55.7364025,37.6736501,542.517412402804,130354.0,21.15,0,109999.99999999991
Каховская,Болотниковская ,17,17,62.8,2,https://www.cian.ru/rent/flat/317601587/,55.6578018,37.5877122,854.3937316777038,67293.0,31.4,0,74999.99999999996
Войковская, Зои и Александра Космодемьянских,2,5,32.5,1,https://www.cian.ru/rent/flat/317578660/,55.8212654,37.5100841,798.3491542718293,95070.0,32.5,0,79999.99999999994
Соколиная гора, 5-я Соколиной Горы,5,18,42.0,1,https://www.cian.ru/rent/flat/317622445/,55.7657939,37.737145,799.3024967513134,68460.0,42.0,0,54999.99999999995
Домодедовская, Генерала Белова,15,16,50.0,2,https://www.cian.ru/rent/flat/317594123/,55.608337,37.724545,464.2866502764574,58610.0,25.0,0,45999.99999999999
Медведково,Полярная ,27,33,45.0,1,https://www.cian.ru/rent/flat/317580957/,55.8821796,37.6356514,1699.5966567841683,61290.0,45.0,0,69999.99999999994
Москва-Сити,Шмитовский проезд,6,53,23.0,1,https://www.cian.ru/rent/flat/317614583/,55.7522602,37.526628,586.9452688319163,278657.0,23.0,0,109999.99999999991
Крылатское,Осенний бульвар,13,17,38.0,1,https://www.cian.ru/rent/flat/317617127/,55.7605329,37.4085153,427.54100251463046,157317.0,38.0,0,60000.00000000002
Нижегородская,Рязанский проспект,11,25,36.0,1,https://www.cian.ru/rent/flat/317593032/,55.7283044,37.7408987,780.6011385693315,69856.0,36.0,0,77000.0
Планерная, Вилиса Лациса,9,12,38.0,1,https://www.cian.ru/rent/flat/317588171/,55.8598932,37.4112395,1578.0502191429964,58103.0,38.0,0,44000.0
Менделеевская,Новослободская ,10,12,52.0,2,https://www.cian.ru/rent/flat/317613910/,55.7856918,37.5958531,617.4518773459723,243014.0,26.0,0,139999.9999999999
Медведково,проезд Шокальского,4,9,45.0,2,https://www.cian.ru/rent/flat/317617435/,55.8825273,37.6501911,868.294161238189,57621.0,22.5,0,69999.99999999994
Нижегородская,Перовское шоссе,31,33,46.0,2,https://www.cian.ru/rent/flat/317609974/,55.7337522,37.7383162,563.7158041121829,69856.0,23.0,0,100000.00000000001
Москворечье, Борисовские Пруды,3,22,43.0,1,https://www.cian.ru/rent/flat/317603433/,55.6364126,37.7134057,1930.9801396271623,80239.0,43.0,0,65999.99999999996
Щёлковская,Байкальская ,9,9,34.0,1,https://www.cian.ru/rent/flat/317574940/,55.8183794,37.8113502,1280.0186281771764,62738.0,34.0,0,50000.00000000001
Пятницкое шоссе,Митинская ,17,17,54.0,2,https://www.cian.ru/rent/flat/317605242/,55.8554168,37.3521105,173.86028793424026,62375.0,27.0,0,54999.99999999995
Новогиреево,Зеленый проспект,1,9,38.0,1,https://www.cian.ru/rent/flat/317598467/,55.7532409,37.8092541,492.12798681134586,58190.0,38.0,0,42999.99999999997
Марьина Роща, 4-я Марьиной рощи,3,5,45.0,2,https://www.cian.ru/rent/flat/317581545/,55.7948648,37.6254933,585.9361180505325,92410.0,22.5,0,60000.00000000002
Шелепиха,Причальный проезд,8,32,46.0,2,https://www.cian.ru/rent/flat/317595942/,55.7604834,37.5172753,619.2526137381697,102401.0,23.0,0,159999.9999999999
Депо,Мариупольская ,5,9,50.0,2,https://www.cian.ru/rent/flat/317623843/,55.675314,37.7442272,1106.9063840936658,62600.0,25.0,0,54999.99999999995
Домодедовская, Генерала Белова,8,25,64.0,2,https://www.cian.ru/rent/flat/317622611/,55.6040295,37.7241272,830.3888694012329,58610.0,32.0,0,85000.0
Багратионовская,Барклая ,2,24,50.0,2,https://www.cian.ru/rent/flat/317610583/,55.7407159,37.5065589,653.8286582314081,129674.0,25.0,0,130000.00000000006
Рижская, Сокольнический Вал,2,21,34.0,2,https://www.cian.ru/rent/flat/317606781/,55.7923713,37.676711,447.2798291238006,86127.0,17.0,0,95000.00000000006
Пятницкое шоссе,Муравская ,16,24,42.0,1,https://www.cian.ru/rent/flat/317603944/,55.8595237,37.3755755,1373.758447216891,62375.0,42.0,0,65000.00000000002
Аминьевская,Очаковское шоссе,25,33,53.0,2,https://www.cian.ru/rent/flat/317577102/,55.6948285,37.4617782,304.80354510847883,97264.0,26.5,0,109999.99999999991
Беговая, Полины Осипенко,16,19,54.9,2,https://www.cian.ru/rent/flat/317619843/,55.7781868,37.5404781,629.2351083432569,126602.0,27.45,0,85000.0
ЗИЛ, Родченко,5,14,46.4,1,https://www.cian.ru/rent/flat/317605434/,55.6976902,37.6307964,1102.6911042299646,122875.0,46.4,0,130000.00000000006
Щербинка, Маршала Савицкого,10,17,42.0,1,https://www.cian.ru/rent/flat/317597079/,55.5035167,37.6000387,5733.435258371194,53788.0,42.0,0,34999.99999999997
Планерная, Героев Панфиловцев,11,12,45.8,2,https://www.cian.ru/rent/flat/317603067/,55.8572037,37.4112296,1623.5251895404597,58103.0,22.9,0,60000.00000000002
Университет,проспект Вернадского,9,13,72.0,3,https://www.cian.ru/rent/flat/317613094/,55.6883464,37.518802,1022.3567392582506,196953.0,24.0,0,200000.00000000006
Молодёжная,Рублевское шоссе,7,9,33.0,1,https://www.cian.ru/rent/flat/317615837/,55.7453758,37.4162652,510.56258959079656,92109.0,33.0,0,53000.000000000015
Депо,Люблинская ,20,25,31.9,1,https://www.cian.ru/rent/flat/317611131/,55.6667145,37.7331276,1343.5967279183324,62600.0,31.9,0,69999.99999999994
Медведково,Тайнинская ,6,17,56.0,2,https://www.cian.ru/rent/flat/317612980/,55.8843358,37.6821509,1343.185710886252,55704.0,28.0,0,74999.99999999996
Белорусская,Скаковая ,3,4,56.0,2,https://www.cian.ru/rent/flat/317614811/,55.7818645,37.5680669,1077.0070064041274,176491.0,28.0,0,65000.00000000002
Каховская,Симферопольский бульвар,2,17,38.0,1,https://www.cian.ru/rent/flat/317612115/,55.6520393,37.6064407,507.7678668934983,73333.0,38.0,0,65000.00000000002
Коптево,бульвар Матроса Железняка,5,12,35.0,1,https://www.cian.ru/rent/flat/317611102/,55.8299801,37.5241504,1108.7688450790797,67042.0,35.0,0,50000.00000000001
